num,M1,M2,mu,WHnu,WHmuL,BHmuL,BHmuR,BmuLmuR,sum
102264,1731.08187,1221.11958,280.908869,3.0932654e-09,-6.77288272e-10,1.41383728e-10,-2.81976312e-10,7.26491056e-11,2.34803365e-09
102272,2262.35023,1348.27192,290.389217,2.73245529e-09,-6.06784112e-10,1.07785636e-10,-2.15009052e-10,4.24118164e-11,2.06085958e-09
102276,3539.82826,1211.73093,295.362009,2.88055168e-09,-6.11954552e-10,6.52426484e-11,-1.30187389e-10,1.52830659e-11,2.21893546e-09
102286,1493.07403,1271.54956,279.865388,2.83153953e-09,-5.94560402e-10,1.4690863e-10,-2.93063187e-10,8.83039563e-11,2.17912853e-09
102298,1138.88325,1657.8223,276.09564,2.1933633e-09,-4.69044056e-10,1.83202947e-10,-3.65418432e-10,1.39749471e-10,1.68185323e-09
102302,4604.45076,1050.48309,297.059905,3.29864866e-09,-6.90285647e-10,5.08143567e-11,-1.01398894e-10,8.39821855e-12,2.56617669e-09
102304,3122.6185,1338.03554,290.310067,2.83782706e-09,-6.46722932e-10,8.36301643e-11,-1.66802856e-10,2.17639113e-11,2.12969535e-09
102308,4193.47858,1499.61634,283.134176,2.42647479e-09,-5.25105419e-10,5.66171774e-11,-1.12959362e-10,1.00448664e-11,1.85507205e-09
102322,2836.4918,1078.51656,273.600192,3.27227356e-09,-6.52090943e-10,7.82953888e-11,-1.56224387e-10,2.28120825e-11,2.5650657e-09
102324,2945.53214,1003.60403,299.616557,3.40826442e-09,-7.07328108e-10,7.76965449e-11,-1.55041972e-10,2.33711197e-11,2.64696201e-09
102342,3968.59926,1324.64022,296.352456,2.49951548e-09,-5.12301269e-10,5.30762128e-11,-1.05937606e-10,1.10969167e-11,1.94544973e-09
102346,4109.36741,1535.8444,294.113016,2.4344876e-09,-5.58728777e-10,6.24999794e-11,-1.24672872e-10,1.14808979e-11,1.82506683e-09
102358,4851.90542,1017.3546,263.342139,3.6644042e-09,-7.3702942e-10,4.96565368e-11,-9.90596507e-11,6.71042449e-12,2.88468209e-09
102362,1407.31886,1678.73592,250.854778,2.38408077e-09,-5.11168479e-10,1.69661733e-10,-3.38269941e-10,9.70990203e-11,1.8014031e-09
102374,2368.09868,1265.85759,285.436836,2.86901408e-09,-6.16089368e-10,9.95611529e-11,-1.98622908e-10,3.68023415e-11,2.1906653e-09
102380,4744.61005,1395.38838,291.899441,2.55663345e-09,-5.54503024e-10,4.98603492e-11,-9.94871879e-11,7.71336837e-12,1.96021695e-09
102412,4195.91365,1386.03838,284.354636,2.56501715e-09,-5.41960711e-10,5.47232879e-11,-1.09193615e-10,9.88521938e-12,1.97847133e-09
102420,4069.82491,1058.7562,275.178479,3.28933696e-09,-6.49464873e-10,5.43554009e-11,-1.0846635e-10,1.00844342e-11,2.59584557e-09
102428,2958.59334,1143.52673,249.781357,3.50013e-09,-7.25055339e-10,8.61216754e-11,-1.71736684e-10,2.09367371e-11,2.71039639e-09
102434,1423.49247,1528.78963,253.084632,2.64771428e-09,-5.73479364e-10,1.73207281e-10,-3.45312598e-10,9.86015511e-11,2.00073115e-09
102450,1154.60714,1184.53305,283.830052,3.24434865e-09,-7.27561449e-10,2.10677579e-10,-4.20052581e-10,1.64260541e-10,2.47167274e-09
102452,3206.11583,1505.48278,265.719194,2.60807597e-09,-5.71913281e-10,7.98188211e-11,-1.59184127e-10,1.84936482e-11,1.97529103e-09
102454,4877.49629,1169.63923,275.26539,3.00414971e-09,-6.03102536e-10,4.57144061e-11,-9.12227392e-11,6.61239155e-12,2.36215123e-09
102456,2435.47764,1300.1082,294.193016,2.68404843e-09,-5.72293344e-10,9.24903288e-11,-1.8455142e-10,3.43868594e-11,2.05408085e-09
102460,3622.36733,1332.37864,288.72556,2.69279668e-09,-5.79855637e-10,6.52096044e-11,-1.30107393e-10,1.4375409e-11,2.06241866e-09
102464,2672.72739,1494.46432,273.198119,2.51504804e-09,-5.43564882e-10,9.01156816e-11,-1.79757386e-10,2.74692577e-11,1.90931071e-09
